id,chart,hardness,avg_inference_time,total_inference_time,inference_count,total_prompt_tokens,total_response_tokens,total_tokens,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,token_count,code execution_fail_rate,surface-form check_fail_rate,deconstruction_fail_rate,chart type check_fail_rate,data check_fail_rate,order check_fail_rate,layout check_fail_rate,scale and ticks check_fail_rate,invalid_rate,illegal rate,pass_rate,readability_score,quality_score,is_multi_table,text_model,vision_model
4,Pie,Medium,0.4259,1.7037,4,14483,143,14626,3620.75,35.75,3656.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
5,Bar,Medium,0.4246,2.1232,5,18106,163,18269,3621.2,32.6,3653.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
8,Pie,Easy,0.2736,0.8208,3,10018,53,10071,3339.3333,17.6667,3357.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
9,Bar,Easy,0.2743,0.5486,2,6682,30,6712,3341.0,15.0,3356.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
14,Pie,Easy,0.2399,0.4798,2,6681,30,6711,3340.5,15.0,3355.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
21,Pie,Medium,0.3045,0.6091,2,6679,46,6725,3339.5,23.0,3362.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
32,Bar,Medium,0.512,1.5359,3,11359,120,11479,3786.3333,40.0,3826.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
33,Pie,Easy,0.2552,1.0206,4,13984,66,14050,3496.0,16.5,3512.5,4,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
34,Bar,Easy,0.2699,1.3493,5,17476,74,17550,3495.2,14.8,3510.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
35,Pie,Medium,0.3887,0.3887,1,3784,32,3816,3784.0,32.0,3816.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
36,Bar,Medium,0.3207,0.6414,2,7556,38,7594,3778.0,19.0,3797.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
37,Pie,Medium,1.6689,3.3379,2,7578,374,7952,3789.0,187.0,3976.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
46,Pie,Easy,0.3018,0.6036,2,6309,47,6356,3154.5,23.5,3178.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
54,Pie,Hard,0.7528,1.5057,2,7055,149,7204,3527.5,74.5,3602.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
55,Bar,Hard,7.4738,14.9476,2,13906,1740,15646,6953.0,870.0,7823.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
62,Scatter,Easy,0.2689,0.5378,2,6710,32,6742,3355.0,16.0,3371.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
63,Pie,Medium,0.3123,1.249,4,13402,96,13498,3350.5,24.0,3374.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
64,Bar,Medium,0.333,0.999,3,10047,72,10119,3349.0,24.0,3373.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
65,Bar,Hard,0.5526,1.1053,2,6984,96,7080,3492.0,48.0,3540.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
68,Bar,Hard,6.5233,13.0465,2,10845,1529,12374,5422.5,764.5,6187.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
69,Bar,Hard,0.5468,1.0936,2,7142,96,7238,3571.0,48.0,3619.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
72,Bar,Hard,0.6193,1.2385,2,7142,110,7252,3571.0,55.0,3626.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
74,Bar,Easy,0.3133,1.8801,6,19847,128,19975,3307.8333,21.3333,3329.1667,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
77,Bar,Hard,0.7148,1.4296,2,7151,128,7279,3575.5,64.0,3639.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
81,Pie,Hard,0.5663,2.2652,4,13704,219,13923,3426.0,54.75,3480.75,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
86,Bar,Easy,3.523,7.0459,2,10192,804,10996,5096.0,402.0,5498.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
93,Pie,Medium,0.292,1.1679,4,13059,86,13145,3264.75,21.5,3286.25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
94,Bar,Medium,0.3055,1.2221,4,13056,86,13142,3264.0,21.5,3285.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
95,Pie,Easy,3.205,9.6149,3,15681,1081,16762,5227.0,360.3333,5587.3333,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
96,Bar,Easy,0.2939,0.8818,3,10012,60,10072,3337.3333,20.0,3357.3333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
98,Bar,Medium,0.4225,0.4225,1,3565,32,3597,3565.0,32.0,3597.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
103,Pie,Hard,0.5856,1.1713,2,7684,110,7794,3842.0,55.0,3897.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
120,Bar,Medium,0.3324,0.3324,1,3404,21,3425,3404.0,21.0,3425.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
131,Pie,Medium,5.986,5.986,1,6432,676,7108,6432.0,676.0,7108.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
138,Pie,Medium,0.4838,0.9677,2,6550,85,6635,3275.0,42.5,3317.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
146,Stacked Bar,Hard,3.9946,3.9946,1,4667,463,5130,4667.0,463.0,5130.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
150,Pie,Medium,0.5471,0.5471,1,3390,51,3441,3390.0,51.0,3441.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
158,Bar,Hard,5.101,5.101,1,7656,408,8064,7656.0,408.0,8064.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
163,Line,Hard,1.194,1.194,1,4907,49,4956,4907.0,49.0,4956.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
173,Pie,Medium,0.3371,0.3371,1,3356,28,3384,3356.0,28.0,3384.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
175,Scatter,Medium,0.5421,1.6263,3,10535,141,10676,3511.6667,47.0,3558.6667,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
186,Bar,Medium,0.3941,0.3941,1,3476,24,3500,3476.0,24.0,3500.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
189,Stacked Bar,Extra Hard,5.0383,20.1534,4,19888,2335,22223,4972.0,583.75,5555.75,4,0.25,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.25,0.75,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
194,Stacked Bar,Extra Hard,3.6912,3.6912,1,4320,398,4718,4320.0,398.0,4718.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
195,Stacked Bar,Extra Hard,5.8618,5.8618,1,5435,655,6090,5435.0,655.0,6090.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
196,Stacked Bar,Extra Hard,7.7612,38.8062,5,30226,4517,34743,6045.2,903.4,6948.6,5,0.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.6,0.4,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
201,Stacked Bar,Extra Hard,6.7447,33.7233,5,28615,3890,32505,5723.0,778.0,6501.0,5,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
202,Stacked Bar,Extra Hard,8.3044,16.6087,2,13443,1947,15390,6721.5,973.5,7695.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
205,Bar,Medium,0.3888,1.1665,3,9932,87,10019,3310.6667,29.0,3339.6667,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
210,Stacked Bar,Extra Hard,3.7803,3.7803,1,4321,412,4733,4321.0,412.0,4733.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
211,Stacked Bar,Extra Hard,3.3486,3.3486,1,4321,359,4680,4321.0,359.0,4680.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
219,Bar,Medium,0.328,1.3119,4,13237,91,13328,3309.25,22.75,3332.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
224,Stacked Bar,Extra Hard,3.0512,9.1537,3,12967,968,13935,4322.3333,322.6667,4645.0,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
225,Stacked Bar,Extra Hard,3.5719,3.5719,1,4319,388,4707,4319.0,388.0,4707.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
231,Bar,Medium,1.6713,6.6851,4,15469,718,16187,3867.25,179.5,4046.75,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
233,Bar,Medium,6.7297,20.189,3,18836,2325,21161,6278.6667,775.0,7053.6667,3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
238,Bar,Medium,0.4115,1.6462,4,13240,124,13364,3310.0,31.0,3341.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
246,Bar,Medium,3.7015,14.8059,4,18630,1679,20309,4657.5,419.75,5077.25,4,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
247,Bar,Medium,7.7546,31.0182,4,25410,3490,28900,6352.5,872.5,7225.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
248,Bar,Medium,2.6151,2.6151,1,4500,301,4801,4500.0,301.0,4801.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
252,Pie,Medium,0.3074,0.6148,2,6607,44,6651,3303.5,22.0,3325.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
264,Bar,Medium,2.3439,9.3754,4,16436,1021,17457,4109.0,255.25,4364.25,4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
265,Bar,Medium,2.9106,8.7319,3,13131,968,14099,4377.0,322.6667,4699.6667,3,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
267,Line,Easy,1.1699,3.5096,3,11086,353,11439,3695.3333,117.6667,3813.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
273,Line,Medium,0.3788,1.5152,4,13246,96,13342,3311.5,24.0,3335.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
285,Bar,Medium,6.9954,6.9954,1,10036,759,10795,10036.0,759.0,10795.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
286,Bar,Medium,0.4872,0.4872,1,4100,23,4123,4100.0,23.0,4123.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
291,Bar,Hard,0.6558,0.6558,1,4103,44,4147,4103.0,44.0,4147.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
292,Scatter,Medium,1.6143,3.2287,2,10163,295,10458,5081.5,147.5,5229.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
293,Bar,Hard,3.7,3.7,1,6129,384,6513,6129.0,384.0,6513.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
295,Bar,Hard,3.5553,7.1105,2,12040,727,12767,6020.0,363.5,6383.5,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
296,Bar,Hard,3.689,3.689,1,6133,384,6517,6133.0,384.0,6517.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
297,Bar,Medium,8.5969,17.1937,2,18934,1884,20818,9467.0,942.0,10409.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
306,Pie,Easy,1.2007,3.6021,3,11777,342,12119,3925.6667,114.0,4039.6667,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
308,Scatter,Easy,7.5001,15.0003,2,15739,1521,17260,7869.5,760.5,8630.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
312,Pie,Hard,0.6036,1.2072,2,7440,67,7507,3720.0,33.5,3753.5,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
316,Line,Medium,10.0011,30.0032,3,28684,3327,32011,9561.3333,1109.0,10670.3333,3,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
328,Scatter,Medium,7.7869,15.5739,2,15564,1336,16900,7782.0,668.0,8450.0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
335,Bar,Medium,0.6875,0.6875,1,4110,43,4153,4110.0,43.0,4153.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
338,Pie,Easy,0.3287,0.3287,1,3424,18,3442,3424.0,18.0,3442.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
340,Bar,Medium,0.9574,0.9574,1,4102,31,4133,4102.0,31.0,4133.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
342,Line,Medium,0.6151,1.2302,2,8225,82,8307,4112.5,41.0,4153.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
354,Scatter,Easy,0.2465,1.2326,5,16367,65,16432,3273.4,13.0,3286.4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
367,Bar,Medium,0.3129,0.6259,2,6509,38,6547,3254.5,19.0,3273.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
368,Bar,Hard,0.4606,0.4606,1,3562,34,3596,3562.0,34.0,3596.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
370,Pie,Medium,0.5296,0.5296,1,3564,46,3610,3564.0,46.0,3610.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
376,Bar,Easy,0.2768,1.3838,5,16929,88,17017,3385.8,17.6,3403.4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
387,Grouping Scatter,Easy,6.5809,26.3236,4,25599,3064,28663,6399.75,766.0,7165.75,4,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.25,0.0,,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
399,Scatter,Easy,3.5902,10.7706,3,16519,1220,17739,5506.3333,406.6667,5913.0,3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
400,Scatter,Easy,2.726,5.4519,2,9331,609,9940,4665.5,304.5,4970.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
402,Pie,Medium,0.2699,0.5398,2,6771,42,6813,3385.5,21.0,3406.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
403,Bar,Medium,0.2849,0.2849,1,3385,20,3405,3385.0,20.0,3405.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
405,Bar,Easy,0.2479,0.4958,2,6754,32,6786,3377.0,16.0,3393.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
409,Grouping Scatter,Easy,0.3542,0.3542,1,3381,22,3403,3381.0,22.0,3403.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
416,Line,Medium,0.3214,0.3214,1,3369,21,3390,3369.0,21.0,3390.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
419,Pie,Medium,0.4779,0.9557,2,6527,84,6611,3263.5,42.0,3305.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
432,Scatter,Easy,0.3456,1.0367,3,10098,71,10169,3366.0,23.6667,3389.6667,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
433,Pie,Medium,0.4769,1.4307,3,10236,126,10362,3412.0,42.0,3454.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
440,Bar,Hard,8.9338,8.9338,1,10085,1014,11099,10085.0,1014.0,11099.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
441,Bar,Hard,0.7466,0.7466,1,4093,63,4156,4093.0,63.0,4156.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
446,Pie,Easy,0.4791,1.4372,3,10835,123,10958,3611.6667,41.0,3652.6667,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
451,Bar,Medium,0.3138,0.3138,1,3827,18,3845,3827.0,18.0,3845.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
457,Pie,Medium,3.342,3.342,1,5764,371,6135,5764.0,371.0,6135.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,None
